url_length,dot_count,has_hyphen,has_at_symbol,keyword_count,digit_count,redirect_count,is_shortened,ssl_valid_days,has_trusted_issuer,domain_age_days,has_whois,label
49,1,0,0,0,0,0,0,-1,0,-1,0,1
120,1,0,0,2,0,0,0,-1,0,-1,0,1
28,1,0,0,0,0,0,0,125,0,-1,0,1
105,1,0,0,0,0,0,0,-1,0,-1,0,1
31,1,0,0,0,0,0,0,55,1,-1,0,1
52,1,0,0,0,1,0,0,-1,0,-1,0,1
28,3,0,0,0,0,0,0,-1,0,-1,0,1
30,1,0,0,0,0,0,0,-1,0,-1,0,1
55,1,1,0,0,0,0,0,-1,0,-1,0,1
39,2,0,0,0,0,0,0,-1,0,-1,0,1
30,2,0,0,0,0,0,0,-1,0,-1,0,1
38,3,0,0,0,1,0,0,-1,0,-1,0,1
99,2,1,0,0,0,0,0,-1,0,-1,0,1
24,1,0,0,0,0,0,0,-1,0,-1,0,1
37,1,0,0,0,0,0,0,80,1,-1,0,1
78,1,0,0,0,0,0,0,26,1,-1,0,1
31,1,0,0,0,0,0,0,-1,0,-1,0,1
36,3,0,0,0,10,0,0,-1,0,-1,0,1
103,2,0,0,1,0,0,0,-1,0,-1,0,1
42,1,0,0,0,0,0,0,-1,0,-1,0,1
25,1,0,0,0,4,0,0,-1,0,-1,0,1
34,1,0,0,0,0,0,0,-1,0,-1,0,1
28,1,0,0,0,0,0,0,-1,0,-1,0,1
307,4,0,1,0,2,0,0,164,0,-1,0,1
60,2,0,0,2,0,0,0,-1,0,-1,0,1
46,1,0,0,1,0,0,0,70,1,-1,0,1
53,1,0,0,0,0,0,0,-1,0,-1,0,1
60,1,0,0,0,0,0,0,-1,0,-1,0,1
28,1,0,0,0,0,0,0,-1,0,-1,0,1
57,2,0,0,0,1,0,0,-1,0,-1,0,1
77,1,0,0,0,0,0,0,-1,0,-1,0,1
54,1,0,0,1,0,0,0,-1,0,-1,0,1
45,1,0,0,0,1,0,0,-1,0,-1,0,1
47,1,0,0,0,0,0,0,-1,0,-1,0,1
188,1,1,0,1,0,0,0,-1,0,-1,0,1
31,3,0,0,0,10,0,0,-1,0,-1,0,1
43,3,0,0,0,0,1,1,44,0,-1,0,1
37,3,0,0,0,0,0,0,23,0,-1,0,1
125,2,0,0,2,0,0,0,44,1,-1,0,1
60,3,1,0,0,0,0,0,-1,0,-1,0,1
86,3,0,0,3,0,0,0,-1,0,-1,0,1
172,2,0,0,0,0,0,0,-1,0,-1,0,1
25,1,0,0,0,0,0,0,-1,0,-1,0,1
174,2,0,0,0,0,0,0,-1,0,-1,0,1
104,2,0,0,0,0,0,0,-1,0,-1,0,1
119,1,0,0,0,0,0,0,-1,0,-1,0,1
45,1,0,0,1,0,0,0,-1,0,-1,0,1
90,2,0,0,0,0,0,0,-1,0,-1,0,1
29,1,0,0,0,2,0,0,-1,0,-1,0,1
35,2,0,0,0,0,0,0,-1,0,-1,0,1
54,3,0,0,0,0,0,0,-1,0,-1,0,1
93,2,0,0,0,0,0,0,88,1,-1,0,1
46,2,1,0,0,0,0,0,-1,0,-1,0,1
25,1,0,0,0,0,0,0,82,1,-1,0,1
43,1,0,0,0,0,0,0,-1,0,-1,0,1
40,1,0,0,0,0,0,0,49,1,-1,0,1
178,1,0,0,0,0,0,0,-1,0,-1,0,1
352,2,1,0,1,11,0,0,-1,0,-1,0,1
61,2,0,0,0,0,0,0,-1,0,-1,0,1
30,3,0,0,0,11,0,0,-1,0,-1,0,1
63,1,0,0,0,0,0,0,-1,0,-1,0,1
99,1,0,0,1,0,0,0,-1,0,-1,0,1
62,1,0,0,0,0,0,0,-1,0,-1,0,1
145,2,0,0,0,5,0,0,-1,0,-1,0,1
41,2,0,0,0,0,0,0,-1,0,-1,0,1
104,2,0,0,0,0,0,0,-1,0,-1,0,1
50,2,0,0,0,3,0,0,-1,0,-1,0,1
26,1,0,0,0,0,0,0,-1,0,-1,0,1
124,2,0,0,0,0,0,0,226,1,-1,0,1
113,6,0,0,2,5,0,0,-1,0,-1,0,1
48,2,0,0,1,0,0,0,-1,0,-1,0,1
91,1,0,0,3,1,0,0,-1,0,-1,0,1
126,5,1,0,2,0,0,0,-1,0,-1,0,1
255,1,0,0,0,0,0,0,74,1,-1,0,1
50,2,0,0,0,0,0,0,-1,0,-1,0,1
31,1,0,0,0,0,0,0,-1,0,-1,0,1
46,2,0,0,0,0,0,0,-1,0,-1,0,1
63,1,0,0,0,0,0,0,-1,0,-1,0,1
34,1,1,0,0,0,0,0,-1,0,-1,0,1
18,1,0,0,0,4,0,0,-1,0,-1,0,1
39,1,1,0,0,0,0,0,-1,0,-1,0,1
51,1,0,0,0,0,0,0,-1,0,-1,0,1
61,3,0,0,0,11,0,0,-1,0,-1,0,1
22,1,0,0,0,0,0,0,-1,0,-1,0,1
45,1,0,0,0,0,0,0,-1,0,-1,0,1
28,1,0,0,1,0,0,0,-1,0,-1,0,1
126,9,1,0,2,15,0,0,-1,0,-1,0,1
29,1,0,0,0,0,0,0,-1,0,-1,0,1
17,1,0,0,0,0,0,0,-1,0,-1,0,1
87,1,0,1,1,0,0,0,84,0,-1,0,1
21,3,0,0,0,10,0,0,-1,0,-1,0,1
61,2,0,0,0,0,0,0,84,1,-1,0,1
46,1,0,0,0,0,0,0,-1,0,-1,0,1
324,12,0,0,3,23,0,0,-1,0,-1,0,1
33,1,0,0,0,0,0,0,-1,0,-1,0,1
121,2,1,0,0,0,0,0,-1,0,-1,0,1
29,1,1,0,0,0,1,0,71,0,-1,0,0
17,1,0,0,0,0,1,0,134,1,-1,0,0
61,3,0,0,0,11,0,0,-1,0,-1,0,1
23,1,0,0,0,0,1,0,75,0,-1,0,0
23,1,0,0,0,0,1,0,31,0,-1,0,0
22,1,0,0,0,1,0,0,-1,0,-1,0,1
29,1,0,0,0,4,0,0,-1,0,-1,0,0
16,2,0,0,0,0,0,0,-1,0,-1,0,0
21,1,0,0,0,1,1,0,34,1,-1,0,0
21,1,0,0,0,0,0,0,-1,0,-1,0,0
20,1,0,0,0,0,2,0,52,0,-1,0,0
22,1,0,0,0,0,1,0,80,1,-1,0,0
15,1,0,0,0,0,0,0,-1,0,-1,0,0
19,1,0,0,0,0,0,0,-1,0,-1,0,0
21,1,0,0,0,0,3,0,122,1,-1,0,0
24,1,0,0,0,0,0,0,-1,0,-1,0,0
21,1,0,0,0,0,2,0,368,0,-1,0,0
18,1,1,0,0,0,0,0,-1,0,-1,0,0
37,2,0,0,0,0,0,0,-1,0,-1,0,1
16,1,0,0,0,0,0,0,44,0,-1,0,0
23,1,0,0,0,0,1,0,53,1,-1,0,0
20,1,0,0,0,0,0,0,-1,0,-1,0,0
24,1,0,0,0,0,0,0,-1,0,-1,0,1
21,1,0,0,0,0,1,0,73,0,-1,0,0
28,1,0,0,0,0,1,1,34,0,-1,0,0
27,1,0,0,0,1,0,0,-1,0,-1,0,0
24,1,0,0,0,0,1,0,85,0,-1,0,0
18,1,0,0,0,0,1,0,40,0,-1,0,0
14,1,0,0,0,0,1,0,35,1,-1,0,0
22,1,0,0,0,0,1,0,65,1,-1,0,0
25,2,0,0,0,0,0,0,-1,0,-1,0,0
24,1,1,0,0,0,1,0,35,1,-1,0,0
20,1,1,0,0,0,1,0,55,1,-1,0,0
20,1,1,0,0,0,1,0,87,1,-1,0,0
15,1,0,0,0,0,0,0,52,1,-1,0,0
20,1,0,0,0,0,2,0,71,1,-1,0,0
23,1,0,0,0,0,0,0,-1,0,-1,0,0
18,1,0,0,0,0,1,0,55,0,-1,0,0
16,1,0,0,0,0,0,0,61,0,-1,0,0
18,1,0,0,0,0,0,0,-1,0,-1,0,0
23,1,0,0,0,0,0,0,-1,0,-1,0,0
14,1,0,0,0,0,2,0,269,1,-1,0,0
26,2,0,0,0,0,1,0,88,1,-1,0,0
22,1,0,0,0,0,0,0,244,0,-1,0,0
27,1,0,0,0,0,0,0,-1,0,-1,0,0
21,2,0,0,0,0,1,0,33,0,-1,0,0
21,1,0,0,0,0,0,0,59,0,-1,0,0
15,1,0,0,0,0,2,0,327,0,-1,0,0
17,1,0,0,0,3,0,0,-1,0,-1,0,0
15,1,0,0,0,0,0,0,-1,0,-1,0,0
23,1,0,0,0,0,2,0,32,1,-1,0,0
19,1,0,0,0,0,1,0,70,1,-1,0,0
14,1,0,0,0,0,0,0,345,1,-1,0,0
15,1,0,0,0,0,1,0,246,1,-1,0,0
27,1,0,0,0,0,0,0,77,0,-1,0,0
26,1,0,0,0,0,0,0,-1,0,-1,0,0
22,1,0,0,0,0,1,0,38,0,-1,0,0
18,1,0,0,0,0,1,0,80,0,-1,0,0
17,1,0,0,0,0,2,0,80,0,-1,0,0
29,1,0,0,0,0,0,1,79,1,-1,0,0
15,1,0,0,0,0,0,0,-1,0,-1,0,0
21,1,0,0,0,0,1,0,55,0,-1,0,0
27,1,0,0,1,0,2,0,69,0,-1,0,0
22,1,0,0,0,0,1,0,324,1,-1,0,0
28,1,0,0,0,0,0,0,72,0,-1,0,0
30,1,1,0,0,0,1,0,45,0,-1,0,0
20,1,0,0,0,0,1,0,73,0,-1,0,0
27,1,0,0,0,0,1,0,32,1,-1,0,0
16,2,0,0,0,0,0,0,-1,0,-1,0,0
19,1,0,0,0,0,0,0,-1,0,-1,0,0
19,1,0,0,0,0,1,0,96,0,-1,0,0
26,1,1,0,0,0,1,0,72,0,-1,0,0
17,2,0,0,0,0,0,0,-1,0,-1,0,0
18,1,0,0,0,0,1,0,69,1,-1,0,0
28,1,1,0,0,0,1,0,44,1,-1,0,0
20,2,0,0,0,0,0,0,-1,0,-1,0,0
24,1,0,0,0,2,1,0,86,1,-1,0,0
19,1,0,0,0,0,0,0,-1,0,-1,0,0
17,1,0,0,0,0,0,0,-1,0,-1,0,0
27,1,0,0,0,0,1,0,73,0,-1,0,0
23,1,0,0,0,0,0,0,-1,0,-1,0,0
17,1,1,0,0,3,0,0,-1,0,-1,0,0
24,1,0,0,0,0,0,0,-1,0,-1,0,0
22,1,0,0,0,1,0,0,-1,0,-1,0,0
19,1,0,0,0,0,0,0,31,0,-1,0,0
17,1,0,0,0,0,3,0,74,1,-1,0,0
21,1,0,0,0,0,0,0,66,0,-1,0,0
19,1,0,0,0,0,0,0,-1,0,-1,0,0
14,1,0,0,0,0,1,0,-1,0,-1,0,0
15,1,0,0,0,0,0,0,-1,0,-1,0,0
22,1,0,0,0,0,0,0,-1,0,-1,0,0
19,1,0,0,0,0,1,0,155,0,-1,0,0
22,1,0,0,0,0,0,0,-1,0,-1,0,0
26,1,0,0,0,0,1,0,53,0,-1,0,0
16,1,0,0,0,0,1,0,50,1,-1,0,0
25,1,0,0,0,0,0,0,-1,0,-1,0,0
20,1,0,0,0,3,0,0,-1,0,-1,0,0
13,1,0,0,0,0,1,0,58,0,-1,0,0
17,1,0,0,0,0,1,0,25,1,-1,0,0
18,1,0,0,0,0,2,0,181,0,-1,0,0
15,1,0,0,0,0,1,0,36,0,-1,0,0
25,1,0,0,0,0,0,0,-1,0,-1,0,0
18,1,0,0,0,0,1,0,38,0,-1,0,0
20,1,0,0,0,1,0,0,-1,0,-1,0,0
